bargain		讨价还价,特价商品,协议,交易
investment	投资
observe		注意到,观察;评说;遵守
occur		发生,出现，存在，被想起，
reluctant	不情愿的，勉强的
semester	学期
switch		开关，电闸，转换，改变
advocate	拥护，主张，提倡
decorate	装饰，修饰，装潢
normal		正常的，平常的，正规的，规范的
opening		开的，开始的，口子，洞，空缺
rare		稀有的，罕见的，冷僻的
resist		抵抗，反抗，抵制，抗(病)，耐(热)
structure	结构，构造
adapt		使适应，改编
discipline	纪律，训练，惩罚，学科
